Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,date,expName,session,participant,
Yes-No Task,68,0,68,0,5.3,-1,Hit,0.518044899974,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_74,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,69,0,69,0,5.3,-1,Hit,0.45079079998,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_75,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,70,0,70,0,5.3,-1,False Alarm,0.517544000002,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_76,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,71,0,71,0,5.3,-1,Correct Rejection,0.467444399954,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_77,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,72,0,72,0,5.3,-1,Correct Rejection,0.550508800021,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_78,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,73,0,73,0,5.3,-1,False Alarm,0.534453400003,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_79,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,74,0,74,0,5.3,-1,Miss,0.601292700041,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_80,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,75,0,75,0,5.3,-1,False Alarm,0.831865000015,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_81,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,76,0,76,0,5.3,-1,False Alarm,0.434361300024,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_82,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,77,0,77,0,5.3,-1,Hit,0.617816200014,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_83,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,78,0,78,0,5.3,-1,False Alarm,0.501493699965,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_84,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,79,0,79,0,5.3,-1,Hit,0.500976600044,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_85,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,80,0,80,0,5.3,-1,Hit,0.467170600023,True,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_86,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,81,0,81,0,5.3,-1,Correct Rejection,0.39877259999,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_87,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,82,0,82,0,5.3,-1,Correct Rejection,0.350305900036,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_88,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,83,0,83,0,5.3,-1,Correct Rejection,0.418972300016,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_89,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,84,0,84,0,5.3,-1,Correct Rejection,0.367833000026,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_90,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,85,0,85,0,5.3,-1,Correct Rejection,0.350764700037,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_91,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,86,0,86,0,5.3,-1,Correct Rejection,0.302377199987,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_92,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
Yes-No Task,87,0,87,0,5.3,-1,Correct Rejection,0.383554700005,False,-1,stimulus_HE28GE_Yes-No Task_2019_Mar_25_1847_93,-1,2019_Mar_25_1847,Yes-No Task,2,HE28GE,
